# https://github.com/paiv/fci-breeds/blob/master/fci-breeds.csv
id,name,breed,country
308,DUTCH SMOUSHOND,Pinscher and Schnauzer type,THE NETHERLANDS
309,SHAR PEI,Molossian type,CHINA
310,PERUVIAN HAIRLESS DOG,Primitive type,PERU
311,SAARLOOS WOLFHOND,Sheepdogs,THE NETHERLANDS
312,NOVA SCOTIA DUCK TOLLING RETRIEVER,Retrievers,CANADA
313,DUTCH SCHAPENDOES,Sheepdogs,THE NETHERLANDS
314,NEDERLANDSE KOOIKERHONDJE,Flushing Dogs,THE NETHERLANDS
315,BROHOLMER,Molossian type,DENMARK
316,FRENCH WHITE AND ORANGE HOUND,Scent hounds,FRANCE
317,KAI,Asian Spitz and related breeds,JAPAN
318,KISHU,Asian Spitz and related breeds,JAPAN
319,SHIKOKU,Asian Spitz and related breeds,JAPAN
320,WIREHAIRED SLOVAKIAN POINTER,Continental Pointing Dogs,SLOVAKIA
321,MAJORCA SHEPHERD DOG,Sheepdogs,SPAIN
322,GREAT ANGLO-FRENCH TRICOLOUR HOUND,Scent hounds,FRANCE
323,GREAT ANGLO-FRENCH WHITE AND BLACK HOUND,Scent hounds,FRANCE
324,GREAT ANGLO-FRENCH WHITE & ORANGE HOUND,Scent hounds,FRANCE
325,MEDIUM-SIZED ANGLO-FRENCH HOUND,Scent hounds,FRANCE
326,SOUTH RUSSIAN SHEPHERD DOG,Sheepdogs,RUSSIA
327,RUSSIAN BLACK TERRIER,Pinscher and Schnauzer type,RUSSIA
328,CAUCASIAN SHEPHERD DOG,Molossian type,RUSSIA
329,CANARIAN WARREN HOUND,Primitive type - Hunting Dogs,SPAIN
330,IRISH RED AND WHITE SETTER,British and Irish Pointers and Setters,IRELAND
331,KANGAL SHEPHERD DOG,Molossian type,TURKEY
332,CZECHOSLOVAKIAN WOLFDOG,Sheepdogs,SLOVAKIA
333,POLISH GREYHOUND,Short-haired Sighthounds,POLAND
334,KOREA JINDO DOG,Asian Spitz and related breeds,REPUBLIC OF KOREA
335,CENTRAL ASIA SHEPHERD DOG,Molossian type,RUSSIA
336,SPANISH WATER DOG,Water Dogs,SPAIN
337,ITALIAN SHORT-HAIRED SEGUGIO,Scent hounds,ITALY
338,THAI RIDGEBACK DOG,Primitive type - Hunting Dogs,THAILAND
339,PARSON RUSSELL TERRIER,Large and medium sized Terriers,GREAT BRITAIN
340,SAINT MIGUEL CATTLE DOG,Molossian type,PORTUGAL
341,BRAZILIAN TERRIER,Large and medium sized Terriers,BRAZIL
342,AUSTRALIAN SHEPHERD,Sheepdogs,UNITED STATES OF AMERICA
343,ITALIAN CANE CORSO,Molossian type,ITALY
344,AMERICAN AKITA,Asian Spitz and related breeds,JAPAN
345,JACK RUSSELL TERRIER,Small sized Terriers,GREAT BRITAIN
346,DOGO CANARIO,Molossian type,SPAIN
347,WHITE SWISS SHEPHERD DOG,Sheepdogs,SWITZERLAND
348,TAIWAN DOG,Primitive type - Hunting Dogs,TAIWAN
349,ROMANIAN MIORITIC SHEPHERD DOG,Sheepdogs,ROMANIA
350,ROMANIAN CARPATHIAN SHEPHERD DOG,Sheepdogs,ROMANIA
351,AUSTRALIAN STUMPY TAIL CATTLE DOG,Cattledogs (except Swiss Cattledogs),AUSTRALIA
352,RUSSIAN TOY,Continental Toy Spaniel and Russian Toy,RUSSIA
353,CIMARRÓN URUGUAYO,Molossian type,URUGUAY
354,POLISH HUNTING DOG,Scent hounds,POLAND
355,BOSNIAN AND HERZEGOVINIAN - CROATIAN SHEPHERD DOG,Molossian type,'BOSNIA AND HERZEGOVINA, CROATIA'
356,DANISH-SWEDISH FARMDOG,Pinscher and Schnauzer type,'DENMARK, SWEDEN'
357,ROMANIAN BUCOVINA SHEPHERD,Molossian type,ROMANIA
358,THAI BANGKAEW DOG,Asian Spitz and related breeds,THAILAND
359,MINIATURE BULL TERRIER,Bull type Terriers,GREAT BRITAIN
360,LANCASHIRE HEELER,Sheepdogs,ENGLAND
361,SEGUGIO MAREMMANO,Scent hounds,ITALY
